Keyword,Country code,Location,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
東京 観光,JP,Japan,Tokyo (Location),"Sitelinks, People also ask, Thumbnail",84000,38,0.04,3219,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-25 19:05:03,false,true,false,false,false,true
東京観光,JP,Japan,,"Thumbnail, People also ask, Sitelinks",53000,38,0.04,1630,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-25 16:49:05,false,true,false,false,false,true
東京,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail, Top stories",410000,88,0.04,1364,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-24 22:39:44,false,true,false,false,false,true
東京 観光スポット,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail",14000,31,0.01,669,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-25 09:51:14,false,true,false,false,false,true
東京おすすめスポット,JP,Japan,Tokyo (Location),"Sitelinks, AI Overview, Knowledge panel, People also ask, Thumbnail",8800,39,0.03,475,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-25 09:47:37,false,true,false,false,false,true
東京 観光地,JP,Japan,Tokyo (Location),"Sitelinks, Thumbnail, Knowledge panel, People also ask",9300,30,0.02,426,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-25 12:48:20,false,true,false,false,false,true
東京観光スポット,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",5500,31,0.01,247,0,6,https://www.gotokyo.org/jp/index.html,,2025-09-24 13:15:40,false,true,false,false,false,true
東京観光 おすすめ,JP,Japan,,"AI Overview, Thumbnail, Sitelinks, People also ask",7500,30,0.01,240,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-24 08:31:29,false,true,false,false,false,true
東京 スポット,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",1800,30,0.03,221,0,3,https://www.gotokyo.org/jp/index.html,,2025-09-22 20:09:03,false,true,false,false,false,true
東京 おすすめスポット,JP,Japan,Tokyo (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",4700,39,0.01,206,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-24 12:11:17,false,true,false,false,false,true
東京 おすすめ,JP,Japan,Tokyo (Location),"Thumbnail, AI Overview, People also ask, Sitelinks",4300,30,0.04,189,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-24 19:45:07,false,true,false,false,false,true
東京,US,United States,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail, Top stories",2400,76,0.05,153,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-24 01:49:19,false,true,false,false,false,true
東京観光地,JP,Japan,Tokyo (Location),"Top ads, Sitelinks, Knowledge panel, Thumbnail, People also ask",3900,30,0.01,135,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-24 13:03:46,false,true,false,false,false,true
go tokyo,JP,Japan,Tokyo (Location),"Sitelinks, Video preview",150,2,0.25,113,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-10 21:04:16,false,true,false,false,false,true
東京 旅行,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",4300,32,0.19,106,0,8,https://www.gotokyo.org/jp/index.html,,2025-09-24 12:16:03,false,true,false,false,false,true
東京スポット,JP,Japan,Tokyo (Location),"Thumbnail, Sitelinks, Knowledge panel, People also ask",1100,30,0.03,101,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-20 14:53:35,false,true,false,false,false,true
東京都 観光,JP,Japan,Tokyo Metropolis (Location),"Thumbnail, People also ask, Knowledge panel, Sitelinks",1300,32,0.03,99,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-24 19:57:56,false,true,false,false,false,true
東京都のおすすめスポット,JP,Japan,Tokyo Metropolis (Location),"People also ask, Knowledge panel, Sitelinks, Thumbnail",1400,31,0.02,97,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-21 04:57:40,false,true,false,false,false,true
東京 観光 おすすめ,JP,Japan,Tokyo (Location),"Thumbnail, Knowledge panel, People also ask",2800,30,0.01,94,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-24 10:43:38,false,true,false,false,false,true
東京 有名な場所,JP,Japan,Tokyo (Location),"People also ask, Knowledge panel, Thumbnail, Sitelinks",1900,29,0.03,91,0,7,https://www.gotokyo.org/jp/index.html,,2025-09-23 14:49:47,false,true,false,false,false,true
東京有名な場所,JP,Japan,Tokyo (Location),"People also ask, Knowledge panel, AI Overview, Thumbnail, Sitelinks",2100,30,0.04,82,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-20 21:47:48,false,true,false,false,false,true
gotokyo,JP,Japan,GoTokyo (Organization),"Sitelinks, People also ask",90,0,0.25,78,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-24 03:14:48,true,true,false,false,true,true
東京の観光,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail",250,38,0.06,75,0,1,https://www.gotokyo.org/jp/index.html,,2025-09-19 15:55:04,false,true,false,false,false,true
観光 東京,JP,Japan,Tokyo (Location),"Sitelinks, Knowledge panel, People also ask, Thumbnail",700,38,0.02,75,0,2,https://www.gotokyo.org/jp/index.html,,2025-09-24 10:00:56,false,true,false,false,false,true
東京都 のおすすめスポット,JP,Japan,Tokyo Metropolis (Location),"Thumbnail, People also ask, Sitelinks, Knowledge panel",900,31,0.02,64,0,5,https://www.gotokyo.org/jp/index.html,,2025-09-24 18:00:49,false,true,false,false,false,true
東京 見どころ,JP,Japan,Tokyo (Location),"People also ask, Knowledge panel, Thumbnail, Sitelinks",800,31,0.02,61,0,4,https://www.gotokyo.org/jp/index.html,,2025-09-25 16:26:41,false,true,false,false,false,true
東京 遊び,JP,Japan,Tokyo (Location),"AI Overview, Sitelinks, Knowledge panel, Thumbnail",4000,31,0.06,59,0,11,https://www.gotokyo.org/jp/index.html,,2025-09-24 17:48:24,false,true,false,false,false,true
東京旅行,JP,Japan,,"AI Overview, Thumbnail, Top ads, Paid sitelinks, Knowledge panel, People also ask, Sitelinks, Bottom ads",3600,31,0.19,54,0,9,https://www.gotokyo.org/jp/index.html,,2025-09-24 10:34:11,false,true,false,false,false,true
