Keyword,Country code,Location,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
tokyo weekender,JP,Japan,"Tokyo Weekender (Work), Tokyo (Location)","Sitelinks, People also ask",1400,2,0.08,1241,0,1,https://www.tokyoweekender.com/,,2025-09-19 05:42:58,false,true,false,false,true,true
lawson mt fuji,JP,Japan,"Lawson (Organization), Mount Fuji (Location)","Local pack, Thumbnail, Sitelinks",1700,0,0.18,308,0,4,https://www.tokyoweekender.com/japan-life/news-and-opinion/mount-fuji-lawson-new-barrier/,,2025-09-23 10:34:42,false,true,false,false,true,false
tokyoweekender,JP,Japan,Tokyo Weekender (Work),"Sitelinks, People also ask, Video preview",250,6,0.08,222,0,1,https://www.tokyoweekender.com/,,2025-09-11 19:43:39,false,true,false,false,true,false
tokyo events,JP,Japan,Tokyo (Location),Sitelinks,2500,17,0.28,177,0,5,https://www.tokyoweekender.com/event-calendar/,,2025-09-25 09:06:31,false,true,false,false,false,true
orange street osaka,JP,Japan,"Orange Street (Location), Osaka (Location)","AI Overview, Thumbnail, People also ask, Knowledge panel",1700,0,0.06,136,0,3,https://www.tokyoweekender.com/travel/travel-guides/osaka-orange-street/,,2025-09-21 05:15:33,false,true,false,false,false,true
goshuin book,JP,Japan,,"Thumbnail, People also ask, Sitelinks",1200,1,0.05,112,0,4,https://www.tokyoweekender.com/art_and_culture/japanese-culture/a-beginners-guide-to-goshuincho-how-to-get-one-and-how-to-use-it/,,2025-09-24 08:31:47,false,true,true,false,false,false
lawson fuji,JP,Japan,"Lawson (Organization), Mount Fuji (Location)","Thumbnail, Sitelinks, Local pack",800,1,0.01,103,0,4,https://www.tokyoweekender.com/japan-life/things-to-do-in-tokyo/tourists-flock-to-alternative-mount-fuji-lawson/,,2025-09-21 00:43:45,false,true,false,false,true,true
orange street,JP,Japan,Orange Street (Location),"Thumbnail, People also ask, Video preview",1900,4,0.15,101,0,4,https://www.tokyoweekender.com/travel/travel-guides/osaka-orange-street/,,2025-09-24 13:18:14,false,true,false,false,false,true
hair mask japan,JP,Japan,Japan (Location),"Sitelinks, People also ask, Shopping, Thumbnail",250,0,,87,0,1,https://www.tokyoweekender.com/health-and-beauty/5-must-try-japanese-hair-masks-to-improve-your-hair-quality/,,2025-09-16 05:39:17,false,true,true,false,false,false
tanuki balls,JP,Japan,,"Thumbnail, Video preview, Sitelinks",200,2,,74,0,1,https://www.tokyoweekender.com/art_and_culture/japanese-culture/tanuki-testicles-in-japanese-art/,,2025-09-10 05:44:22,false,true,false,false,false,false
